[06-Feb-2020 23:14:59 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[06-Feb-2020 23:17:34 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[06-Feb-2020 23:19:28 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[06-Feb-2020 23:25:02 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[06-Feb-2020 23:25:02 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[06-Feb-2020 23:26:46 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[06-Feb-2020 23:28:46 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[06-Feb-2020 23:31:08 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[06-Feb-2020 23:33:39 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[06-Feb-2020 23:33:41 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[06-Feb-2020 23:37:44 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\letovi\userClass.php on line 29
[06-Feb-2020 23:45:00 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\letovi\userClass.php on line 29
[06-Feb-2020 23:46:19 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 00:14:09 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 00:18:18 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 00:23:13 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\letovi\userClass.php on line 29
[07-Feb-2020 00:23:34 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\letovi\userClass.php on line 29
[07-Feb-2020 00:27:58 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 00:29:41 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 00:38:31 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 00:39:43 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\letovi\userClass.php on line 29
[07-Feb-2020 00:41:11 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 00:53:07 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 00:58:28 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 00:58:39 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 00:59:31 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 01:00:44 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 01:53:44 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 02:05:16 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 02:06:21 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 02:43:31 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 02:46:18 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 02:46:48 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 02:47:24 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 02:48:07 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 02:48:48 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 02:49:27 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 02:50:24 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 10:07:56 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 13:23:49 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 13:24:36 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 13:25:35 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 13:25:42 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 13:25:54 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 13:29:25 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 13:29:28 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 14:17:46 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 14:17:56 Europe/Berlin] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in C:\xampp\htdocs\letovi\index.php on line 56
[07-Feb-2020 14:19:54 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\letovi\userClass.php on line 29
[07-Feb-2020 14:20:05 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\letovi\userClass.php on line 29
[07-Feb-2020 14:20:09 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\letovi\userClass.php on line 29
[07-Feb-2020 14:20:19 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\letovi\userClass.php on line 29
[07-Feb-2020 14:27:12 Europe/Berlin] PHP Notice:  Undefined variable: ime in C:\xampp\htdocs\letovi\userClass.php on line 29
